msno,city,bd,gender,registered_via,registration_init_time
n8CRvsBJOrVqWO4NbWOWvAO8HGFEX5MiwgS4JG/rH+Q=,1,0,"",7,2013-12-18
R1kLlnAFX+UpbpeMKz0+3L5c7OKiTK6d1EWtrxRSbhQ=,13,28,female,3,2013-04-10
VvkiBimEWj3PXirKNrcchuvSOTpp9lIT15V3Y8d6/qM=,1,41,female,3,2015-08-24
F/O6LY9tir7YaPKyHu4ZkIptymaVhFauBBMNalyUUKg=,5,27,male,7,2010-11-18
W3cs9aa2KwUxRYg5KEtTCi5uS61pwjIkyH7sCi5fpdU=,10,18,female,3,2013-09-30
zsuETMHw0T18w9ZT24/dDw27y3AUsXlkcBiP0eK0NW0=,1,0,"",7,2013-10-16
9UPXp+qPezOjf6Gq6GLYo9Mds8zN9k+ypPjFbtVtDEU=,13,34,male,9,2011-01-11
B7OAwitFbCa3XoPQ4EBijOxG85zMRFXe+QzZ4cZ1rIE=,13,48,male,9,2006-05-05
2zw5YRp4GgkebcCRJ5O1vbhLfHZoQlMNM3ALOgzvmDk=,4,0,"",3,2014-05-09
Cf8KnT3dBuWqiT2q/snkCn8zij8DCEfe/jdJ/nU+N9Q=,1,0,"",7,2015-04-07
tU+ILpxumK6kk/L8BHbwKMTbQYAF+iWeEdlZ31calK8=,1,0,"",7,2016-11-11
Ad/jjTPiR09TQn3FDC2AxdoCrg2/N+umBYjGHt5GKMk=,1,0,"",4,2016-12-25
/hXVXZwnLPGISkPVMPZjA/AaT4QifjiWuRL5ADGDFhs=,1,0,"",9,2017-01-24
yOXzIJ9dnhwumcVSbCn7u736bKGBpBLJNuUdAfq7IH0=,22,30,female,9,2010-06-06
5Tf2LqwLzzz5lmQgfGeBStmjN1Cfsvo3PGkV23DkVnU=,18,0,"",9,2015-08-26
T3fNJzUPhrfXKwgOU86AgjMdzpzT7ticpjfs1zPJISA=,4,35,male,3,2015-09-18
/Ff6G1PcZmBszfZtppr4byLCyRR33TwVcInvCXZ+EIc=,15,31,male,4,2017-01-22
tIinnbsAT3JU8QiWSq7k2ihvdP8dEDSdRfvq5dzvFfA=,1,0,"",7,2017-02-03
yIHQkJCFpe59KWmpgjalyJuDy0o4k/yiwaqFcfJ5F1U=,1,0,"",4,2017-02-07
pKiVG3X9fT/PMaZPw3h+rXKESsTLR1c7lgKy5EKFhkI=,21,0,male,3,2014-05-19
8jhhY08hWtNU1JYPT1QtXd02e2u9jfHwo3fKNy1KeUo=,1,0,"",7,2016-12-28
o+I2sJYLfGOV14RWQKeRkqpHH7kZcyjT5Se90TUGiTg=,13,24,female,9,2010-02-05
S+Ay/CI0+/fDKnx7YQ13L0UD4qFMR6lfkBCy7BFaRso=,15,24,female,9,2011-10-08
FyRoMYqMft7WHZ4tce30V4tRVHFydI5g6oRGxyt4JPo=,8,40,female,9,2007-12-13
nYK/NIkUmo7/HQrtb8tcDGk+rOf9aZ0VSVwfZbFHE24=,14,26,male,9,2015-08-20
zAiU9B6ugm5lwq3bUsLrA1+K+IM9uuGObxnh9mBtBqU=,1,26,female,3,2015-08-24
/nDtYOFIuBXzrqkePMMFlVAikVY2z8ztA4oOlInGnLo=,12,20,male,3,2015-08-28
03JYzGKDCPbIBiaewsSPJI0XExoCl6C/QSxo8iitcRs=,18,0,"",7,2015-08-29
EMAWbRB3YMSMySU8+SSC9QFaYXpokq4tw0g40ISjLEQ=,1,0,"",9,2015-08-30
Q4AqNiWXEh84R3DpZ+ZfghI0t5IaLsg5tXdEApVV0fE=,4,68,female,3,2014-12-06
lUBlt6NYwKV20ID0TpDzEoNDyuzLy6rhIJj40TN13xY=,13,29,female,3,2012-08-19
uJrrHxKHZPFHdSxWUI48I+uVgrHwUDXb9FhpoCI5LyY=,1,23,male,3,2015-04-30
0Tt4FQtdle2/L3I/03FbMbBfl8104/fWJl7HDu0efuE=,1,0,"",9,2015-05-02
U6ijemOKqVnhc8tH9Jv/NWsApGH/MnkAOozYSQZnVDM=,1,0,"",7,2016-08-26
alzEGw3qZZZzQzmg4EOM2UiCiik9xs1qN6+hzgzpk1o=,6,20,female,3,2012-11-30
f1M2EEFTpqV7eWh71hz4SsjpVYGqctlBX0eV1BPGNh8=,4,19,female,3,2013-01-01
aAJqgq/w+7z6Jq6jtvv92sm9PUMuvIWUfxGMlzAExXo=,12,24,male,7,2016-06-05
GiVgubc3MzuSktvY/7Ym0v+kyIqpV7NJB0sN/eWv6Aw=,5,20,male,9,2011-08-05
HznS1BhQ5FrYCJzChUqyfbrhzjaJT+LA1jtVVnm1Z/A=,13,29,female,9,2006-11-10
GJGnCdq46kMMQgtND2XsqF86n0txSMwfnqb+3iNRNvA=,14,35,female,9,2006-12-21
mNeiKXXY1/nybnJpQIvV1gJUxAP3KFeH0EDePS9zzME=,13,34,female,9,2007-07-12
Mce26GHU+/F6q5A1/Pv+JKxjuTmrtuFlhSKCj//jJV0=,1,0,"",4,2016-04-05
qbgEascZhttPU12rGQHkJCL5YyCMc3QKa09iEdtyeu0=,1,0,"",7,2017-01-22
yWyGCN/780J1ckPm3Y3+sjPip4/duQp/d68hyMGWAE8=,13,0,"",7,2010-06-05
BqsZclqSP1sNrZTzU7f0c1WhIRoOIigp01L7OLQk7Aw=,1,0,"",7,2010-09-23
XIQxJHiYOYoaCyxQhCTdo+ZaKD2Tdri6tbPpBtSAX9s=,9,26,male,9,2011-12-15
Auyl9GOWi2VUO76qbBlNpkqKsmfNfw/MvbJnJ7SUEzE=,1,0,"",7,2011-12-28
PkE7OYoRw0v7MYd4HoSC/l39AkSo2BjMoeOrgZ+EpzA=,6,22,female,3,2015-01-07
o4UwLhirKBxwdHaUgKd9KQc27w1ZGCc9CIB8qVHW/XE=,6,29,female,9,2011-06-01
MC42GYKZDIOTO77uBLtiqLdX6oFQVvVa6XQCpSee/gs=,1,0,"",3,2014-02-04
7AY8EtXxDQ3hDb+297pADKT037d3y6fBSr+j4H51K2Q=,5,28,male,3,2015-01-04
VWOINmj4gg5P2zV5LpSiK6/xX+5W4mR4UbBNNt9ckHQ=,1,0,"",7,2015-10-13
4Z5L7svcZ3gfTnG/8aQUmZbO/9zs6O1BcUGdxUUTrPs=,1,0,"",7,2015-10-14
jttinLGc74pf2onPW+PBAzwlCpNuZLHqX3f2wSjbIvw=,1,0,"",7,2012-01-20
HieBEQpNYXZ8qjL5dQ1pzq5ZYOO1Ike733jcSe6mCGY=,1,0,"",7,2012-02-01
Sx4f0YTpME9NjaPfpQ8ygAY6zgZ/qJQkUrC9ZHQoVmM=,22,31,male,3,2012-02-17
Pt/YkGncrYMEUZ5RjCbEm/nf7wMBSoxMYLy9jV42T2o=,1,0,"",7,2012-03-26
wm0Z+upzoPf7TAnzvv5dRXx4qPN4IKTo8NxQtow3QO8=,4,22,male,9,2012-05-01
W74+jly5szcc744fN0dDPcu1VbfwD0GmHzFo7K4PcDs=,1,0,"",9,2012-05-04
Jn8KVk7nRZKgVsjBoExsU7a/TQ6UGWl7e4kHCYBMJlM=,22,20,male,3,2012-06-19
IG+r6sC42WufbXDKxW2ukicASUN0tKjblpXfj4yQHZ0=,1,0,"",7,2012-06-24
igwVUdxoEAeDzbAG1EtHZrL6+qbJPn+yTW2yXDyt/IQ=,8,28,female,9,2009-05-10
GKXUaGkk9QksiOYuz2nO4V+A5JNSAkvgj5OEbjUHCis=,1,0,"",7,2014-05-11
Ap5qls4UzFna733EYeAuKQUQskRAcV/lihmK3qMu+e4=,15,0,"",3,2014-05-28
09kQyocQQ2tGLHWnCU2lOoV7Uh4iSm7RFTyuYgAXrWg=,1,0,"",9,2014-06-06
pn3grfDBYGSpHTiOO7YNpJHBWN6soRM8FWSXbsNpWT8=,1,0,"",7,2014-06-23
H+fc2COtsan7zonqgXVbJgeTq0DQKtFZaTbLyDodQc4=,1,0,"",4,2017-01-04
Dm0zq2zZ2TNNvign7wzymG3hF3J48JszpTBeudqHufU=,1,0,"",7,2011-11-03
t9m4/AY0ayEHMQMiBaA9jiYs5kjUqJZTDc8fOtaZ5jM=,5,51,male,9,2011-11-08
5Zcahy9M2BavFKxgBI3Kn2GWVuoBxJOGBqvZGrn6fJs=,1,0,"",4,2017-01-02
WvtvyUu0eGZ+j43nQ2QJTNyWeMqOX9YAyFeDTI9dZwg=,1,0,"",7,2017-01-21
AMYDeJ5qW3st+Nwx2bnyZZjNh41c7Ckd99JBWs/F5RE=,1,0,"",7,2016-11-17
c9xwneHhe3G7Nc/bqkJ+67Q1FwtGAA4tGuBaoUH/JHs=,15,37,male,7,2016-12-08
v/BF60EldtYBDKPzI2JAHV/OJF1K6ACQtZK4oxG51/M=,1,0,"",7,2016-12-12
LcDrm/2RarwCnb3bKAtlhKufegKcoSrjAzXIpVRIono=,1,0,"",4,2016-12-16
PRXxsK+oiJSbPd+ZC2qE9kr64iSUEFOr2fIyWrHle+s=,1,0,"",4,2016-12-19
puVpMgODWTfwhX/rSv+1v6d/z0AQVrg69TikffFA7yk=,5,22,male,3,2013-08-26
5JIwJfRbUG5hR94yiLMHwxrSZxNZCVLUSnzgIpv2PxI=,1,0,"",7,2016-11-05
eadbsRWRZRzoXhZvLIFQ+SPChEe/uTBMWjmAl5n+eNU=,1,29,female,4,2016-11-12
8jstcOJBfDuySBReJDKEI/DZAV0nRJQzofzlIv685gE=,1,22,male,3,2016-11-19
RONOKsU+dMaSUw8zzft5hWOJddrsjXsHrKrSfg3pYxk=,22,48,male,9,2017-02-11
VJbv4roLW0F+FwwUONp132bb1rsLYuNtmI5pKywl1yk=,13,45,female,9,2006-09-09
IPYGT6wxUckx8Uum/eR+UDPh45j0RF0IhKk6wM+FG6w=,22,66,male,9,2007-01-06
3wJIfdDiUkp1AwT5pLbGb9qsXmZP1rUoRYQlZ50tULg=,4,0,"",9,2015-04-01
onHdrN0H4PzxPxUSZ8nM8cF1WHiTnHoSv0UF+PlWhcY=,13,20,male,9,2010-12-15
qlVYh9BGErc9seZOb+MH729DhjKA5f+uWGVvfmEboMA=,9,22,male,9,2009-03-02
kJ6P8U27bk23j4a/iOQ1jLZ8WIu2a1x/dxnkRnjbmg0=,4,32,female,3,2013-04-02
DlWaNn9++8ncDEmg2h4Q8SJayZCh4+htZ+amJifiqrY=,4,31,male,9,2012-09-25
uaLOZOc+RKBIwExs4HpXPOy9mQOnKtD4MyBVyLDLGm0=,1,0,"",7,2017-01-03
re7JXHTrJE/xrR+xYgnWwcxC6FWuPJumjX9WcSIyiYY=,14,65,male,7,2017-01-26
Ml25efr/zOFRy+877Wq0hwnT7TY1KMufNp9ZfMyvHTA=,6,19,female,4,2017-02-02
oka7LVQ1D7j/UUB2/3vI1UcZ0ni1vhxP5pydo9Bt+qs=,1,0,"",7,2017-02-09
Qyek6NB6msD0BZSu0+9S1cH6mz2mrgHf+0pN2vAdTNk=,13,0,"",9,2014-12-22
pQoEbDRSkCQauM0QCCRkzCht4VxoiEnWOosK8aiKerE=,9,37,male,9,2014-12-24
8TOannIm5fmmY8KLeLxhcfgdtGG25NXphwJRRBfGw0Y=,1,0,"",4,2016-09-15
2U1zX+oVInDIeiGCCB9kf0YVsB/EJ0IC3xYpP6Rkknw=,1,0,"",9,2017-01-07
P1LuplTxqKmbMfPOqDgtmLV3rzfZFJXD2EG8ceKA6+0=,9,41,female,9,2007-07-25
vWZVkD2asT68x5PjDm7Uoyz3R3tO87tuDsImA2njG5Y=,5,29,female,9,2007-08-09
TvsG56/tBSUiMmsveuS7FqTigQGx4iY/ndkuYeKT4Go=,15,0,"",4,2015-10-21
I5ww75vxNjdD5l25JZPbgEr1OAp1R6o0kGzSCJle6qI=,8,19,male,3,2014-10-24
HSMtMO8owKhJRxydOajmQ0fC2hlSzMPeBrS6IV6ypT8=,11,34,male,3,2014-11-08
NJ4tqpY6RzqwAOZmTwj4yPiVXXdE1DsW70LCM3jPF7c=,18,33,male,9,2009-04-26
MWG5plUc5Fsv0/rIDu2YNIRrOWZf2KE9KX75mWaPoao=,1,0,"",3,2014-05-11
8DH4GsFhbNpscIanLCpo9D45uie6JBrLBS8mnPmCGwI=,4,21,male,3,2014-06-18
vAZdwaZABXvVhXcBYao9V3iQpNf/1x6e56bsBXjF5Vo=,1,0,"",4,2017-01-07
bbun94RfCtalGGayceRK+JRvXaJdlcaBed5C2f98zBY=,1,0,"",7,2011-10-12
paQbAb6c6JsoSCgf7XeBs0lpzpjcp0RA8JT6Ri93xQw=,22,22,female,3,2016-11-11
Pymo3kdhwamG/ZNSl5kuwJ3w7u3NEK91FE0TLjotv3k=,1,0,"",7,2011-10-30
xH0t2Be4zwaqL66j0pmNEHdNxNrEUEGL8AOyTyAhEcE=,14,26,female,9,2011-11-14
2wRcnUwsNqs1rTZsA+pR/Us32/PXyZm0vd/OnTZyc+8=,13,54,female,9,2007-06-17
YDJzQ3tKso3GP0wl4oOvDCckhmdkSd3PMCz8WA5cueU=,6,34,female,9,2007-11-19
pao16H8jnNIhe/jH8/0r33Cn4SiyuOLmKZPOwbqktQE=,13,30,female,9,2007-04-17
SDlANicv0Ch+JxnCEMbCafITwrFz/X6He9g8T91CrlU=,1,0,"",4,2015-11-10
h/McMF8RPJ1dbdtrawR7ao3R+aKWb+1Lrw7O7DsGSIY=,1,0,"",7,2011-07-07
/qogZkTTKxT96gpbPIniMiLkpdw2ACZ2g0JMMlHPzVE=,22,22,female,9,2011-08-11
n8Z3sCXVrZUr8GATnlC4wa2FQ3IgTzM7Vjwd4ALUHE0=,5,44,male,9,2011-08-14
eLvw/FXZNBKz9HgCxDWAwo4Cw1h+OSuCpPuq/V0DCjo=,1,0,"",7,2011-08-30
lWcH4/zQhtk70NEqwkGPxJcO7aPPwuNx0ej9Asaa1Oc=,15,0,female,9,2005-10-26
Em4Ud87uWRmOeC49JF6soc3rkHge61mGMoYJ04AwHEw=,13,21,male,9,2013-10-17
3xYrlndqetVJNm6l7RqkwUjNPOE0Cnoh5ET/ICA/4V8=,5,31,female,7,2012-11-09
YHlfGb9q8aR/bcNoKT6OsTWOrU7NLNaxgASxQOqPWIc=,1,0,"",7,2013-01-09
jKv0ekxjtsyfNi9ghrNkfqLdBuokheIApSwPaxXkBTk=,1,0,"",7,2013-01-10
+g8cvNkqNOmDa0YEPr0I02pGnsrFIh/c88TY/1i7USg=,1,0,"",3,2013-01-13
aeVYZsUwPjdnV79jUygMGSGkaRrainugYEEHTehzTUA=,13,30,"",9,2011-06-17
ABLw8bM9v8bNaYF7ukCj6uK5jIFyQ+nUtKo7DSwosSo=,8,25,female,9,2007-07-24
SCMuxHhfaKL5Nx1WAY4HmjU/ajvuWlcFMJiql5nBUa8=,13,28,male,9,2007-10-31
XaQxY6NxInz/m1WLy1+BIsL6hR6WKWWkCdD/h0XAdc4=,13,27,female,3,2014-05-09
ResxatMWc35u6ZppVE1UUOy3d4dyevkG95/V6lSarXM=,1,0,"",9,2016-11-13
KS8/4hUssUbyvHgMeMZUjEWJvQAH4bQfiCZFpNI8EZ0=,1,0,"",7,2016-12-14
kIxeUV1QwmK9pin6tYVykg4RbaKdMbdSu5IRnHeVlWw=,1,0,"",4,2016-12-18
A6j4SoklYBj3XeufBzLoS3o0jpZh3oAOUe8JoJvqJ54=,4,24,male,9,2007-05-20
lHrvFyK4ozCRwxz2R8vInoE0M2BSOtbVYnNufJid7oQ=,1,0,"",7,2012-05-12
8sQ5mAiRXjxTl9lNqJr++mGilDmSBcewtBMJLQI5BcM=,4,21,male,3,2015-03-12
JEyczLEYcA8E8OFaRb6VRAaJYmUtbWqTdNB+VaaYAak=,11,33,female,9,2013-04-08
758D+ptbwukYP8kBD3GhaScs+80Ptup4KdJIxxIWr1A=,10,28,male,9,2008-10-06
1E0gT0eQVrRU/c7VSc0l6rtQZvxgAZEQ5/LXeiot3/g=,1,0,"",7,2014-02-13
ifggJiZaBDlkQxjFeftXUle1B0MHDUwmKg/Xw57xhcU=,1,0,"",4,2017-01-03
3ba6uu0tGV5wnMAN0hURC6qFOVQ+AppGDv1Ow2uATe4=,1,0,"",7,2017-01-12
NZdmKNjUXQ0AOOjR2m1pQB1PBVzPkfJ9j5Phiv8MF6M=,1,22,"",9,2017-01-23
xTt1coT7cmYZODHFp9EeSM5DJr/yV5Bz5dmwLT2zKnA=,5,28,male,9,2006-02-22
cd9R76nchcG1F1oyKMVN9bXXwRssofcYVckWhIWTSrY=,14,30,female,9,2006-03-10
TzjonU03gfmbZqJLjyEPseoIB6/YxZrJ/4MayjWdn6A=,15,27,female,9,2006-03-10
QNP/t1qD6hfaN5tP/mcvtgpQPdkOgo5CHdZ7sGkCeNI=,1,17,female,3,2014-09-03
vL1cZcRyNcgtDJWIaCo48ksKyGGaftkNEcOgwmuqP/o=,12,0,"",9,2014-10-01
IOplOWDZAtl7Q4GfS9FOwQ9qMNHShwCz98XgiD0yCS8=,13,22,male,9,2014-10-16
h3v/eCgfSKLurJQAjN8/+dvtSSbCbKwcMFVYuRfKu4g=,1,0,"",7,2015-11-13
GHW67RqoGL5hl/71b5OKbWqY/OpnW2gWcCL5RDfU6WA=,1,0,"",4,2016-09-17
9kxN9Magej3Dhjd4pz62iHbVDBACUsRG5GgNOSJd0I0=,1,0,"",7,2011-11-07
ZToO6+WMSbTlmAP0qkMdK4+9IwLLg5eDv1pRaq0VnMQ=,13,32,male,9,2011-11-21
kdf0BRh7WGRc2MvAWX3HHMpg+Z83boal99EN58eM1no=,6,19,male,9,2014-05-25
mBZS2ZjG3rw79NTMZE5iBYpWFcVJFNdFme0+r4hQmP0=,21,32,female,9,2006-12-05
5n5qnJY3QnjpIEL7bqeg6JSPHIwtCQfTaIzYwVHefQo=,5,28,male,9,2007-03-03
D8H2WdDMMky1Hf0xxA1ML+Ff+rk/bwP8oK6cxNnOcL4=,12,23,female,4,2016-07-08
b4OUUVC9bA0uHB3foL04+kDl/uWZwKV06qRENexDsmc=,15,33,female,9,2009-04-19
6I76magIAbr+PaFzAeFaP5m7zSpEVxO2jkQdzzWDsPY=,1,0,"",7,2013-09-24
VDvW/hv5rY6457FSBk9U1d7cIcxvSoVufSDvBzZ+gTg=,11,32,female,3,2013-09-28
xomrs3oESX64uXJbfBmglfKhIh1ob42rioGBYEc6cqc=,1,0,"",9,2015-11-18
ewuJtUGQNkhNACEkr4RI0HUKn1k6diIWgJ8FQciEcUA=,10,0,"",9,2015-06-06
Jit1uQrN6I+NaItdf+Xto3b17+edXr6N7ZcKjEMzqyk=,1,0,"",9,2015-06-11
tK57BRZOWn18eR9Kuuoy122fye0XdjGbFOxAlq7nVvg=,8,29,male,3,2015-06-25
PSvw0qHNTt2jIAjI87O6UhAOiGMdmDGsJ1cFGVkIdOw=,5,21,female,9,2007-05-06
trl0HhLokmzOxXUR3CZI2CZ2V3TzeEkLUAFNqDo1/xM=,1,0,"",7,2012-01-19
f2kGQXrngPEDsatbJWrDkmM+AaM++uOydpqBRIub6XY=,1,0,"",7,2012-02-06
7tt1dcN0Ao9UlMbV6hr5fnPFhsH0v+sC75+5Ze4L/Oo=,5,56,female,9,2012-03-17
8W+RSYhQEpOXebFektbIcBquJPZmmL9T05rOm77y+ag=,5,0,"",9,2012-04-14
ZQWCobJNlLYIRvhdXMY2ZJRQM/FeO0j7AXXaGNozjUs=,6,22,male,9,2012-05-06
Lwb9abxjonuRZZbCpj7AUMLOWYWOOlJ1dvygCo+zx5I=,4,36,female,9,2011-09-11
Ni3Sliyx7Lky0eF+D8hD7Gc5a7mFJ1rasdx/67U70qk=,5,20,male,9,2011-09-17
3wtfnmmy9GE6N7d1kW2u8bVpHxm4KSO77T+nylJlQGo=,22,36,female,3,2014-10-25
ypyWV0jex5jMRhBdqk7s+woUmTMSXiz7YYDUeW0ZNTg=,5,0,"",9,2014-11-03
LfhLJImWDCzeEf93gxaGT/IXqrvasxsZfOwVEhFmHw0=,5,28,male,9,2007-04-03
K63DVzl+qTTZzru8B9MtXy4KcTThbIG9ROxtKWBPSF8=,6,39,female,9,2007-07-07
Fn79fvhxC4QI1vBSPIsnFL9pl3tRj8SHxXuBRPY+iXs=,5,48,female,9,2007-09-23
6jy7Fn9pGApK8Ny1MXoQmyMU9/EZIcdkc9jSivJliic=,5,40,male,9,2005-12-26
7pSqhL5JOLlqSUNVoFI+C91zrNNPCd4cTbHe22CRBJg=,13,26,female,9,2005-12-27
1rpqGgI+pz//pBm35pUWgk2h25Ln/pe6JIo+fFzyE7g=,13,27,male,9,2005-12-31
vbOERDh3qVvnzYF6oON0mQiecHshH66qW0BmKy9Zkfg=,1,0,"",7,2014-05-23
USMmwqpJ8ve23zY/Gh3AuE9fePM7iJfKKY4fhzj/5jw=,14,23,female,9,2014-05-28
nirGbmc3veMNrtHwk8W2AX8i7PKeDLGgtD+1e6hM9K4=,1,0,"",7,2013-12-28
/4fMAb6rXMWvPZKQA5dJwnG7JBnFyr1GJ1FUFfnYWNM=,1,0,"",7,2014-01-10
/yJLvFmTOkEjla0yZov/3T6g+p/ifl7oL6vzL1kXq4U=,13,23,female,3,2015-06-16
HnVRKOlJyenltqDj8aMfcIviAYUi8ja7ni2ATiaVNlE=,13,40,female,3,2014-12-31
t9Q9P+iBoeMzvmLapC1mYrd9kdUz5Gu5Z1X0QXh6S/U=,14,42,male,7,2014-01-08
ZNC05GM6Zz3Y3f0yT0vn/HKh9XyazAJyCZiPxjfrBh0=,5,0,"",3,2013-04-07
C59Yx3SgCo//GbpqxlFKV524doAefNr2aDQ6U+m3ge0=,1,0,"",7,2013-05-17
tJxiymfZwAGZzAskBqm9V5qT5LZcRrNjelHyDbgycTI=,12,47,female,3,2013-06-01
9B1+0Cx6w0C/xKZkqVdCvTSsm3ex89KCcsfVc7s4DiE=,1,0,"",7,2013-06-18
nP9dazBKzvO9x2ahAxvtdsan7AvSNUiFIIsNo900l4Y=,13,25,male,9,2010-02-12
qxLoEhv3tM25HeNxDmnygtbMASq8H4abjmgDCdtbjK0=,18,20,male,9,2014-06-16
3OjVDVtOz3tqtLBxA+DHIIFQrPBoFtAzZwBDRmg3CYU=,1,0,"",3,2014-07-01
yg2VbZt5m7ibeLC9F0UQO62g43+TZDRFo4dENECLGZw=,4,33,female,9,2006-06-15
GS25sQvE6/N4X6e7vtTciCeDTthZtTQSaAxVKXuTIP0=,15,39,male,9,2006-08-05
wa/94tsqRIPpU6Z65NFdcLwK0UZXIQaV2AABORNxzOY=,13,36,male,9,2007-04-12
Q0oIRJh06gqthNdO3vcQBcRwP4H9FMlaDxv3wnd5NSo=,7,24,female,3,2013-02-16
lW1jIiKg7zckGmyhu4fEWjKgPVsupAqxiSkY9uieF/A=,1,0,"",4,2015-12-30
Zn6uTKEUkNk4L+EhY46emC6nzlnZQc8z+PBZXywrbdQ=,22,0,"",9,2015-07-04
kpHXcLke1sIC49M8g3g+Rop1lZ2zMvUONnWuNwO+Mqk=,13,31,male,3,2015-07-28
ayu2jHzTa8c7/cpr8eIX3oRF/0oK+EsdDB0D6Q9s9Eg=,1,0,"",7,2015-08-07
+oHSyq3M3pN7BAa7wPRhR0vauyoSrdAnHWZSXUClwU0=,5,18,male,9,2008-06-21
EKQ7C1N+8p0PEnIDGJyx8AcnM4+GLlYSlPpRMOZoQXM=,1,0,"",7,2016-02-19
MVuzITc0Ql+lM488eGiWhQJNpW7rAqU4i+FBruATKG4=,5,0,female,9,2004-12-03
ZCihlBwRY2vkhKa0AtNAyIYId6hvGCY07G50f/kkXtk=,1,0,"",7,2016-11-21
Vxp9GSxBT2T3odkwty7K1fsrh5SMqcj1+PLFCdiDomg=,15,30,female,9,2010-09-28
Q91lsqcx6q5hu0TwVKEEFzuJFgNnkf+bYM/swu/HQEo=,1,0,"",7,2011-01-19
lXW3YvYZamt+xbKELBn/Gm1gOMD+6GvYSXHE9gQlrDM=,1,0,"",9,2015-08-28
HpfJdGZ5JKwgwmvAHTjGHFKArZeNlEb8tJ6p9S1v2lY=,5,21,female,3,2015-08-30
/W9Php7QxmxChmxgDFwU+0WCLZ0QKhZDCeTrdQdHrMw=,1,0,"",7,2015-09-02
uRiMOQ5oJYQte1aBw1pfTFXbVGZe0lDNbFzMMd0mtUY=,15,0,"",9,2015-09-08
mwxEdoYD2MMeQpnzAXbQwQN8MXPSmr7Bt8YU6lzvhdU=,20,20,male,7,2015-10-08
2m8aQPJE1aC23fS/bnvFJLiPTsEj0PWK0f4wyf2o3SQ=,9,0,"",3,2013-10-07
0mHwDkBkbl/kPwIhdXNzD0kM9rqTreEt+TSbrlIkIXA=,8,33,male,9,2013-10-20
0Vp9husJdSyZMvKv+t165U6NtwD3OG5aN0uurK7N++M=,1,0,"",7,2017-01-20
N9+gqB4ym5pG98Zz1r6RlI1jJBAZgarxQkYIVZge31I=,1,0,"",7,2017-01-23
2vPAZJ8aJVCLoEL43VKk4fSsacXs+f7cvNAIiQXrMzE=,9,27,male,9,2011-12-15
Ls6eCA/SUtOzR4nfUQCbnsjsuIqi1GaOjDrBvovQ8CQ=,1,0,"",7,2016-12-03
